Date,Hit
2022-10-24,15
2022-10-28,15
2022-11-01,10
2022-11-01,10
2022-11-04,10
2022-11-06,30
2022-11-12,25
2022-11-12,10
2022-11-13,20
2022-11-14,25
2022-11-15,10
2022-11-16,15
2022-11-21,30
2022-11-21,10
2022-11-25,30
2022-11-26,30
2022-12-02,15
2022-12-04,20
2022-12-11,30
2022-12-15,10
2022-12-22,30
2022-12-23,10
2023-01-03,15
2023-01-04,30
2023-01-06,30
2023-01-14,10
2023-01-14,35
2023-01-15,25
2023-01-16,15
2023-01-18,35
