Date,Hit
2022-10-13,35
2022-10-13,0
2022-10-13,10
2022-10-13,25
2022-10-13,20
2022-10-13,25
2022-10-13,25
2022-10-13,15
2022-10-14,5
2022-10-14,25
2022-10-15,20
2022-10-15,25
2022-10-15,10
2022-10-15,5
2022-10-15,5
2022-10-16,0
2022-10-16,10
2022-10-17,10
2022-10-17,10
2022-10-17,10
2022-10-17,5
2022-10-17,10
2022-10-17,35
2022-10-17,20
2022-10-17,25
2022-10-17,35
2022-10-18,15
2022-10-18,15
2022-10-18,0
2022-10-18,35
