Date,Hit
2022-11-01,5
2022-11-02,9
2022-11-03,2
2022-11-05,3
2022-11-06,2
2022-11-07,7
2022-11-08,5
2022-11-10,8
2022-11-11,6
2022-11-12,5
2022-11-13,9
2022-11-14,6
2022-11-15,5
2022-11-16,5
2022-11-17,2
2022-11-18,2
2022-11-20,3
2022-11-21,1
2022-11-22,4
2022-11-23,2
2022-11-24,3
2022-11-25,2
2022-11-26,1
2022-11-28,5
2022-11-29,8
2022-11-30,3
2022-12-01,7
2022-12-02,6
2022-12-03,8
2022-12-04,1
