Date,Magnitude
20/09/2022,309
21/09/2022,129
22/09/2022,171
23/09/2022,202
24/09/2022,253
25/09/2022,177
26/09/2022,214
27/09/2022,208
28/09/2022,648
29/09/2022,123
30/09/2022,245
01/10/2022,259
02/10/2022,263
03/10/2022,236
04/10/2022,190
05/10/2022,183
06/10/2022,144
07/10/2022,232
08/10/2022,195
09/10/2022,206
10/10/2022,103
11/10/2022,166
12/10/2022,181
13/10/2022,210
14/10/2022,158
15/10/2022,216
16/10/2022,100
17/10/2022,534
18/10/2022,149
19/10/2022,186
